0,Aasen,Germany,1,47.983,8.55,717
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/08/2021,23:00:00,,,,-12.64167,1013.0,0.25
01/09/2021,00:00:00,,,,-11.54167,1013.0,0.25
01/09/2021,01:00:00,,,,-11.86667,1013.0,0.25
01/09/2021,02:00:00,,,,-14.56667,1013.0,0.25
01/09/2021,03:00:00,,,,-16.70833,1013.0,0.25
01/09/2021,04:00:00,,,,-17.35833,1013.0,0.25
01/09/2021,05:00:00,,,,-17.59167,1013.0,0.25
01/09/2021,06:00:00,,,,-14.96667,1013.0,0.25
01/09/2021,07:00:00,0.8,,,-14.23333,1013.0,0.25
01/09/2021,08:00:00,6.083333,0.0,6.083333,-13.31667,1013.0,0.25
01/09/2021,09:00:00,30.94167,0.0,30.94167,-10.36667,1013.0,0.25
01/09/2021,10:00:00,76.51666,0.0,76.51666,-7.266667,1013.0,0.25
01/09/2021,11:00:00,120.025,2.2077013486304184,119.29507548977274,-3.441667,1013.0,0.25
01/09/2021,12:00:00,142.05,16.21292309605711,136.65450546480483,-1.458333,1013.0,0.25
01/09/2021,13:00:00,142.85,57.4209879943619,126.01867894706174,0.3333333,1013.0,0.25
01/09/2021,14:00:00,111.0417,112.32467640572017,86.96773791984367,1.566667,1013.0,0.25
01/09/2021,15:00:00,57.25,215.30203054468797,35.33878068089096,-0.05833333,1013.0,0.25
01/09/2021,16:00:00,15.34167,,,-2.091667,1013.0,0.25
01/09/2021,17:00:00,0.78,,,-3.566667,1013.0,0.25
01/09/2021,18:00:00,,,,-5.633333,1013.0,0.25
01/09/2021,19:00:00,,,,-8.216667,1013.0,0.25
01/09/2021,20:00:00,,,,-5.533333,1013.0,0.25
01/09/2021,21:00:00,,,,-4.783333,1013.0,0.25
01/09/2021,22:00:00,,,,-4.683333,1013.0,0.25
01/09/2021,23:00:00,,,,-4.641666,1013.0,0.25
01/10/2021,00:00:00,,,,-4.625,1013.0,0.25
01/10/2021,01:00:00,,,,-4.575,1013.0,0.25
01/10/2021,02:00:00,,,,-4.575,1013.0,0.25
01/10/2021,03:00:00,,,,-4.516666,1013.0,0.25
01/10/2021,04:00:00,,,,-4.4,1013.0,0.25
01/10/2021,05:00:00,,,,-4.375,1013.0,0.25
01/10/2021,06:00:00,,,,-4.358334,1013.0,0.25
01/10/2021,07:00:00,0.6,,,-4.633333,1013.0,0.25
01/10/2021,08:00:00,5.783333,0.0,5.783333,-5.141667,1013.0,0.25
01/10/2021,09:00:00,33.7,0.0,33.7,-3.191667,1013.0,0.25
01/10/2021,10:00:00,91.75833,0.0,91.75833,1.483333,1013.0,0.25
01/10/2021,11:00:00,138.9583,13.860654610356208,134.34721379800226,3.266667,1013.0,0.25
01/10/2021,12:00:00,161.85,50.41235510601747,144.95566974949105,2.658333,1013.0,0.25
01/10/2021,13:00:00,159.5167,112.0661042315872,126.37976210502299,0.825,1013.0,0.25
01/10/2021,14:00:00,132.4167,204.3542037683517,88.0583035130351,0.325,1013.0,0.25
01/10/2021,15:00:00,81.73334,288.91688792771873,51.51072019492014,0.175,1013.0,0.25
01/10/2021,16:00:00,22.26667,,,-2.525,1013.0,0.25
01/10/2021,17:00:00,1.2,,,-7.15,1013.0,0.25
01/10/2021,18:00:00,,,,-12.25,1013.0,0.25
01/10/2021,19:00:00,,,,-9.1,1013.0,0.25
01/10/2021,20:00:00,,,,-7.291667,1013.0,0.25
01/10/2021,21:00:00,,,,-6.633333,1013.0,0.25
